Ev,S11,E33,E11,S33
0.000360689,5.044727829,-0.0000238,0.000408288,0
0.000366781,5.059348683,-0.0000244,0.000415527,0
0.000365601,5.072488838,-0.0000249,0.000415492,0
0.000372095,5.077793629,-0.0000253,0.000422745,0
0.000373445,5.140947101,-0.0000246,0.000422576,0
0.000371369,5.204845104,-0.0000255,0.000422406,0
0.000378603,5.217560709,-0.0000255,0.00042964,0
0.000384614,5.262810902,-0.0000261,0.000436796,0
0.000382708,5.268107328,-0.000027,0.000436782,0
0.000383668,5.332753001,-0.0000265,0.000436609,0
0.000391258,5.356592667,-0.0000263,0.000443813,0
0.00038844,5.413919548,-0.0000276,0.00044366,0
0.000396811,5.43353044,-0.000027,0.000450885,0
0.000394849,5.45482594,-0.000028,0.000450829,0
0.000401575,5.513320857,-0.0000282,0.00045794,0
0.000402615,5.552847983,-0.0000276,0.000457834,0
0.000408264,5.58887518,-0.0000284,0.000465016,0
0.000409315,5.624271826,-0.0000278,0.000464921,0
0.00041503,5.637090954,-0.0000286,0.000472155,0
0.000416084,5.671212902,-0.000028,0.000472064,0
0.000413732,5.694206604,-0.0000291,0.000472002,0
0.000421609,5.750053832,-0.0000288,0.000479121,0
0.000421902,5.785029064,-0.0000286,0.000479027,0
0.000428438,5.778662896,-0.0000289,0.000486322,0
0.000425975,5.842776312,-0.0000301,0.000486151,0
0.000432386,5.879124537,-0.0000305,0.000493321,0
0.000430017,5.908150832,-0.0000316,0.000493244,0
0.000437959,5.948638947,-0.0000312,0.000500413,0
0.000438148,6.017728808,-0.000031,0.000500229,0
0.000443088,6.036379755,-0.0000322,0.000507446,0
0.000441512,6.052804426,-0.0000329,0.000507403,0
0.000450967,6.095404838,-0.0000318,0.000514566,0
0.000449721,6.133022531,-0.0000324,0.000514466,0
0.000449644,6.161633687,-0.0000324,0.000514389,0
0.000454875,6.211019589,-0.0000333,0.000521525,0
0.000455278,6.204973402,-0.0000331,0.000521541,0
0.000461349,6.224057266,-0.0000337,0.000528758,0
0.000462132,6.214934656,-0.0000333,0.000528782,0
0.000468483,6.277776512,-0.0000337,0.000535892,0
0.000467538,6.347077602,-0.0000341,0.000535707,0
